"session_id","run_date","language","mode","notes"
"session_20260413_125548_9ea78a4e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125548_e451f6db","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125548_ec6c7f99","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125549_0b3787c2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125549_27ea67e6","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125549_6d727245","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125550_460ebbcb","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125550_50bff86e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125550_a9733c65","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125551_4c6bbf55","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125551_de8696c1","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125551_f0c0e5d2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125552_6fd4cbd2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125552_8bc55655","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125552_c5313630","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125553_210488a1","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125553_910d232d","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125553_bb9ac2ce","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125554_622b91c2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125554_86299362","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125554_df59bfe3","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125555_04d302ca","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125555_586b8753","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125555_e9f41e66","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125556_2568d4cb","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125556_87e542b5","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125556_8ffe7d58","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125557_8140b481","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125557_94871d0e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125557_e03da3c8","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125558_6d4211f3","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125558_90ae74b1","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125558_fe500d24","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125559_4822cc15","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125559_7cbbea0b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125559_a3886545","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125600_4320bb05","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125600_ad38369e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125600_df79f57a","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125601_2182bfdc","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125601_3e1dfabe","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125602_103dc48f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125602_ccf897dc","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125602_d90fe793","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125603_0d2cddfd","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125603_4b663a04","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125603_b8d23c7c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125604_9fa9bc5e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125604_c1a65b7f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125604_e4045062","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125605_22e7d9b8","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125605_4ba3fc3c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125605_c38d6a7c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125606_afaf229b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125606_f100ffba","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125607_7756ec53","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125607_891fe760","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125607_deffac81","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125608_3fd102cb","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125608_4493089e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125608_c22f2e87","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125609_42390b5c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125609_67fffeae","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125609_d91c9cff","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125610_3ba4e71e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125610_5c55c21e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125610_b1f97cf1","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125611_82714b53","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125611_b2517f3f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125611_ded3b07a","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125612_802c878f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125612_ef7b801f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125613_068a0bde","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125614_127cc864","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125615_ad151632","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125615_b1a5789b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125616_63531683","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125616_715d0800","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125616_995b3765","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125617_3381749e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125617_d4bb9051","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125617_dce36d4e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125618_79809a62","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125618_98e1830a","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125618_abfde40f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125619_12e74fc1","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125619_6e2daa81","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125619_8be73a5b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125620_01dda0ea","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125620_58e2d468","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125620_76035351","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125621_4ee0039d","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125621_ae88c4fe","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125621_f516e888","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125622_1a49d7ae","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125622_a9673b5a","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125622_e2ad19af","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125623_7a9b7eaf","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125623_7ed9d251","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125623_be9e2eaf","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125624_57ab2989","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125624_8f33603c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125624_95f6a6dd","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125625_7adbb401","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125625_c5d58376","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125625_d6e55b33","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125626_21c6490f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125626_750268b2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125626_ec1a14d2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125627_29f703da","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125627_54480cf6","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125627_85c1978c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125628_3bf7259a","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125628_42b01b29","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125628_6342144b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125629_54174910","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125629_c621395e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125629_c6ead508","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125630_65e899f5","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125630_a17f185e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125631_1f3fee52","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125631_3a32a469","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125631_7e6e6775","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125632_04ca2273","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125632_7f4644b7","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125632_df8ca8c9","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125633_4fdcab49","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125633_e26ef479","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125633_fcd2f094","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125634_91c8a1d6","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125634_bfa53963","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125634_f65f7bc6","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125635_4de329a0","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125635_62900517","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125635_d6ea6103","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125636_1689f600","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125636_1f46183d","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125636_4aa0a4ba","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125637_4d330009","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125637_711622a0","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125638_3feef009","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125638_b63fd461","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125638_ee8ef470","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125639_2900928c","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125639_487704b6","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125639_e5d8fd3e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125640_0403e838","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125640_2b4eca93","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125640_70a9481b","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125641_b7bfee2f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125641_ba464a4d","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125641_d685bed0","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125642_9ef39c4e","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125642_b9ab5a5d","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125642_fde2d08f","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125643_aeb1c8d2","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125643_c5bb20a6","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
"session_20260413_125643_f69bde46","2026-04-13","java","both","bulk ingestion from Graphene-HA logs"
